host,ip,port,protocol,title,domain,country,city,link,as_organization
de1.atmonamii.xyz,104.21.83.9,80,http,Speedtest by Ookla - The Global Broadband Speed Test,atmonamii.xyz,US,San Francisco,http://de1.atmonamii.xyz,CLOUDFLARENET
vpn.leertai.top,104.21.43.37,80,http,Speedtest by Ookla - The Global Broadband Speed Test,leertai.top,US,San Francisco,http://vpn.leertai.top,CLOUDFLARENET
bpb.network.lat,104.21.58.202,80,http,Speedtest by Ookla - The Global Broadband Speed Test,network.lat,US,San Francisco,http://bpb.network.lat,CLOUDFLARENET
bpb.1788888.xyz,172.67.153.81,80,http,Speedtest.net,1788888.xyz,US,San Francisco,http://bpb.1788888.xyz,CLOUDFLARENET
de2.atmonamii.xyz,172.67.166.193,80,http,Speedtest by Ookla - The Global Broadband Speed Test,atmonamii.xyz,US,San Francisco,http://de2.atmonamii.xyz,CLOUDFLARENET
bpbg.168168.us.kg,2606:4700:3030::ac43:98d5,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpbg.168168.us.kg,CLOUDFLARENET
bpb.cztor.us.kg,172.67.176.106,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpb.cztor.us.kg,CLOUDFLARENET
bt.kju.dlss.fg.fsr3fg.us.kg,2606:4700:3033::ac43:8f8f,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bt.kju.dlss.fg.fsr3fg.us.kg,CLOUDFLARENET
bpb.rk666.us.kg,2606:4700:3037::ac43:91f3,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpb.rk666.us.kg,CLOUDFLARENET
bpb.nolove.us.kg,172.66.44.159,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpb.nolove.us.kg,CLOUDFLARENET
cf.hughhad.us.kg,2606:4700:3031::6815:54bc,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://cf.hughhad.us.kg,CLOUDFLARENET
bpb.sanmu.us.kg,172.67.208.13,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpb.sanmu.us.kg,CLOUDFLARENET
d.minions.us.kg,104.21.25.101,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://d.minions.us.kg,CLOUDFLARENET
panel.poli.us.kg,104.21.69.32,80,http,Just a moment...,us.kg,US,San Francisco,http://panel.poli.us.kg,CLOUDFLARENET
bpb.wcnm.us.kg,172.67.202.229,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpb.wcnm.us.kg,CLOUDFLARENET
yang251147.us.kg,104.21.95.95,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://yang251147.us.kg,CLOUDFLARENET
bpb.baochao.us.kg,172.67.167.138,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpb.baochao.us.kg,CLOUDFLARENET
f.lovelibin.us.kg,172.67.137.238,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://f.lovelibin.us.kg,CLOUDFLARENET
0703.eveval000.us.kg,2606:4700:3035::6815:18d3,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://0703.eveval000.us.kg,CLOUDFLARENET
hbpb.us.kg,172.67.197.62,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://hbpb.us.kg,CLOUDFLARENET
swh.faceless.us.kg,2606:4700:3033::ac43:d804,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://swh.faceless.us.kg,CLOUDFLARENET
bpb.wze.us.kg,104.21.27.75,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpb.wze.us.kg,CLOUDFLARENET
bpb.bpb.us.kg,172.67.209.118,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://bpb.bpb.us.kg,CLOUDFLARENET
